market_id,location_id,district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households,state_key,district_key,latitude,longitude,literacy_rate,worker_participation_rate,internet_penetration,computer_penetration,lpg_adoption_rate,urban_household_ratio,population_normalized,DSS,market_tier
11,11,11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,100890,77346,878,38487,13558,63788,2779,10410,JAMMU AND KASHMIR,GANDERBAL,48.342952188,74.015297176,0.32345534280083116,0.19694613948483064,0.05733403168775296,0.08368329598606775,0.17779982426769247,0.1752902541825046,0.026188764822463406,13.311632150163943,Low Potential
12,12,12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,188420,169223,1537,73629,21703,147520,5293,16828,JAMMU AND KASHMIR,PULWAMA,109.81831322191782,252.48812483424658,0.3948732520673715,0.18967092469184665,0.04411572473307091,0.06591311231727506,0.129404211017471,0.12825088788167094,0.04998450979285105,12.240247822646278,Low Potential
13,13,13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,87721,80888,884,35282,5272,75616,3440,3727,JAMMU AND KASHMIR,SHUPIYAN,,,0.3752459600723494,0.17338347120105146,0.05487028714360233,0.10889314693060734,0.05592159776232356,0.06517654040154287,0.023362978260145724,10.130498879894608,Low Potential
14,14,14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,389684,277733,2712,114899,70666,207067,8612,28984,JAMMU AND KASHMIR,ANANTNAG,75.21122993298968,85.3739760412371,0.3635578336880296,0.2506877685212189,0.04808945808443306,0.06488135018446486,0.13617389193828414,0.2544386155048194,0.09687604504610146,16.51574212932852,Low Potential
15,15,15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,159990,121130,838,47913,25178,95952,3542,4301,JAMMU AND KASHMIR,KULGAM,76.45558674,110.29206929666667,0.3415934882936738,0.2887978942739232,0.03150561870634894,0.05813086051123156,0.041369087231867344,0.20785932469247914,0.03768309569618348,13.808252813642463,Low Potential
16,16,16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,151912,133617,596,61831,11350,122267,3077,7963,JAMMU AND KASHMIR,DODA,17.424701866666666,40.73393526666666,0.41141521912749884,0.2733813595291199,0.01718751872378084,0.03439450526934757,0.07453732053357082,0.08494428104208299,0.03636688048943264,11.124688565109325,Low Potential
17,17,17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,87212,89622,417,34243,5341,84281,2644,3982,JAMMU AND KASHMIR,RAMBAN,18.48695421818182,41.471612772727276,0.24941675214031372,0.11952424766747416,0.01830821261659298,0.059125632991190245,0.0536565338753694,0.059594742362366386,0.02494620048381563,6.896764349843821,Low Potential
18,18,18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,82974,78371,274,24067,5993,72378,1651,4118,JAMMU AND KASHMIR,KISHTWAR,19.324586,43.64112857142857,0.29730620776519784,0.24682085853304303,0.011569523373065483,0.026898421421120776,0.06482885771688165,0.07646961248420972,0.02014921267764879,9.107476795088276,Low Potential
19,19,19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,243672,183360,1214,73999,34696,148664,5744,20008,JAMMU AND KASHMIR,UDHAMPUR,22.70636460571429,51.195037211764706,0.4887967517405731,0.4401593658085393,0.029773402251141314,0.0660968748351489,0.14272735972599856,0.18922338568935426,0.049490940400342236,17.87584556790819,Medium Potential
20,20,20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,144767,107833,602,31588,12261,95572,2849,6552,JAMMU AND KASHMIR,REASI,20.586038844444445,46.07711147222222,0.3180011793996325,0.49130794918784104,0.02372528608976192,0.04735373616280141,0.07614132975371575,0.11370359722904862,0.027746924035734605,14.435935966222265,Low Potential
21,21,21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,508622,502609,19905,294739,248043,254566,46657,197168,JAMMU AND KASHMIR,JAMMU,32.683791811666666,74.75174380782123,0.75964359630457,0.18051855350764023,0.22192505276915683,0.30107342585111985,0.5326353280966399,0.493510860330794,0.1377066748315983,33.86193416700837,High Potential
22,22,22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,92526,114236,992,61159,19989,94247,4465,34063,JAMMU AND KASHMIR,SAMBA,32.580956900000004,74.8218229,0.7132030719462061,0.07751116823754955,0.04179171466137851,0.09574208260251238,0.40305436183076276,0.1749798662418152,0.028129745685543005,16.241068784957523,Low Potential
23,23,23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,294035,200231,1615,96082,13836,186395,5117,21458,HIMACHAL PRADESH,CHAMBA,32.48584873,76.23403375714285,0.5605776960388908,0.7503917525741751,0.038190784807088846,0.044048956321764164,0.1400389566931422,0.06910018928138001,0.04624224946761461,20.355334245647068,Medium Potential
24,24,24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,675170,627328,8053,330081,39007,588321,22753,148361,HIMACHAL PRADESH,KANGRA,32.3551757768014,76.05364783497365,0.7930865764454635,0.45976228402637387,0.06598775133789656,0.08498321199197506,0.31811897190243243,0.06217959345031626,0.13590765737399005,21.49420721304906,Medium Potential
25,25,25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,19295,17434,61,5618,0,17434,252,2046,HIMACHAL PRADESH,LAHUL AND SPITI,32.462922078048784,94.35687177804878,0.6743266123589691,0.8595960463909748,0.011585363804563906,0.0016371010899177696,0.15407086941874498,0.0,0.0021317130866192117,19.824345260985204,Medium Potential
26,26,26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,269084,188704,2623,91322,20709,167995,7010,40064,HIMACHAL PRADESH,KULLU,31.82943310952381,77.26068886746032,0.6918655778108247,0.8673533058054214,0.07218118185702052,0.08833927683413254,0.2848172466530899,0.10974330167881974,0.038897339737882536,26.29295368499069,High Potential
27,27,27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,572671,462825,5333,214491,31696,431129,16401,59324,HIMACHAL PRADESH,MANDI,31.638470287218045,76.94428813308271,0.727395457542322,0.7658423529031159,0.058330982164600254,0.0818007572802911,0.168970917165775,0.06848376816291254,0.0897358014879285,23.612535393538636,Medium Potential
28,28,28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,241931,211348,2521,104120,15232,196116,7525,34978,HIMACHAL PRADESH,HAMIRPUR,32.776892044660194,75.42414072634146,0.8333017252470811,0.666458295280172,0.06069325785794061,0.0824428563743641,0.22036032536238873,0.07207070802657228,0.04042328800638139,22.777755967376983,Medium Potential
29,29,29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,215346,205217,2412,105929,20126,185091,8238,43809,HIMACHAL PRADESH,UNA,31.587477620338984,76.23765133559323,0.7991781524817339,0.3771705890897713,0.05967500095177383,0.09978087016352141,0.28642154662811825,0.09807179717079971,0.046431624488425055,19.507069056883594,Medium Potential
30,30,30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,205871,164445,1574,79146,11987,152458,6281,17262,HIMACHAL PRADESH,BILASPUR,32.7651246740458,75.65764139083969,0.7759411823826914,0.6835138087852547,0.046963989014671276,0.09233945469628277,0.13701663883038978,0.0728936726565113,0.03383524499861747,21.624161480191574,Medium Potential
31,31,31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,298737,244296,5250,119866,51509,192787,14478,53722,HIMACHAL PRADESH,SOLAN,32.839826235353534,75.12196172727273,0.7517626671273785,0.6245529928847661,0.11640095629870126,0.172834827168714,0.2952737340887298,0.21084667780070082,0.05178325580991345,27.449131162023043,High Potential
32,32,32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,280083,192156,2220,91509,21054,171102,8593,28904,HIMACHAL PRADESH,SIRMAUR,30.666541156578948,77.38432520394737,0.6615476958805524,0.6582159502783048,0.05850808462199236,0.11726373058740544,0.1995959600029805,0.10956722662836445,0.047217173428069706,22.340940256045787,Medium Potential
33,33,33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,430926,375165,9177,172754,95896,279269,24127,108888,HIMACHAL PRADESH,SHIMLA,33.03755717945619,76.27573009969788,0.7752800110052218,0.6601239716527482,0.13370910735076133,0.19211410332326234,0.39212056099723325,0.2556101981794677,0.07292756952859102,30.82114344863739,High Potential
34,34,34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,56273,44514,354,17865,0,44514,2563,10740,HIMACHAL PRADESH,KINNAUR,31.601572416666666,78.2741514611111,0.7234920035082535,0.9999999999999999,0.0375317050778302,0.1663903928611577,0.32469482957549384,0.0,0.006887080009091449,25.97840230513019,Medium Potential
35,35,35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,757138,606348,14428,411216,185488,420860,38445,244468,PUNJAB,GURDASPUR,47.70034426,75.279600204,0.7063122876477435,0.17318566246703426,0.12982721164523983,0.18865196914559015,0.5476329009535393,0.30591013741283885,0.20722847983160553,27.210515014023496,High Potential
36,36,36,PUNJAB,Kapurthala,815168,426311,388857,576567,284165,261203,9732,161206,95770,165433,23145,110555,PUNJAB,KAPURTHALA,31.36591466956522,75.57458810543478,0.6996956749053189,0.21985977062775308,0.2082635552850151,0.28494926395938697,0.5752710259153743,0.36664969391622615,0.07303234557928308,30.09069947169226,High Potential
37,37,37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,774472,708130,39082,446200,377791,330339,79134,299449,PUNJAB,JALANDHAR,31.52644390669456,75.40412237615062,0.7536835117777236,0.23073200498540813,0.31273332725906977,0.3733623321594857,0.5747474319042145,0.533505147359948,0.19775221893598202,39.4055806714896,Very High Potential
38,38,38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,499822,551265,13747,319930,128592,422673,34328,201675,PUNJAB,HOSHIARPUR,32.82444492012195,74.0746583429878,0.78113424663249,0.13809770060100013,0.13648194576683992,0.18432380719241387,0.49621718210902077,0.2332671219830753,0.1428339153018636,24.41050323089732,Medium Potential
39,39,39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,204329,231551,5264,125068,48383,183168,13936,64934,PUNJAB,SHAHID BHAGAT SINGH NAGAR,31.19810911025641,75.78892966581196,0.7143296212186325,0.18358712872972804,0.12364442900507325,0.17635460360040237,0.3786133064779343,0.20895180759314363,0.054677716830327225,21.398179346138157,Medium Potential
40,40,40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,214783,174896,5138,113683,57337,117559,14294,64037,PUNJAB,FATEHGARH SAHIB,30.501037013793106,76.33359956091954,0.7039711675390012,0.24245281392988294,0.16235036378234488,0.25866128141109407,0.49663428785524866,0.32783482755466103,0.05357865406024388,27.416002686530973,High Potential
41,41,41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1284822,1036821,58589,703624,641789,395032,123400,488757,PUNJAB,LUDHIANA,30.737310015228427,75.45716898666667,0.7404832950315825,0.26522185381908003,0.3204111012477711,0.4011262380687071,0.6415656461109931,0.6189969146072466,0.3158423379210405,44.45059313473988,Very High Potential
42,42,42,PUNJAB,Moga,995746,525920,469826,627889,359172,288439,7897,183396,74144,214295,21662,89445,PUNJAB,MOGA,30.7751262982906,75.12031995128204,0.5717419395450538,0.24934938087700564,0.15070414676835692,0.2333395307315319,0.4194664555581797,0.2570526177111972,0.08937107587450906,24.314518137964097,Medium Potential
43,43,43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,756695,502390,10042,349662,153868,348522,31070,141899,PUNJAB,FIROZPUR,,,0.5290329420272939,0.2791074360423017,0.10765127181882979,0.18269266904503093,0.3813909176516037,0.30627201974561596,0.18286678132315323,25.146243242781125,Medium Potential
44,44,44,PUNJAB,Muktsar,901896,475622,426274,524848,335326,224157,4571,166585,74650,149507,14077,76441,PUNJAB,MUKTSAR,,,0.49063913563318723,0.2763675919954772,0.11000202248568582,0.1863426365772326,0.46203478955705835,0.3330255133678627,0.08087951079899067,24.590130097989377,Medium Potential
45,45,45,PUNJAB,Faridkot,617508,326671,290837,381285,221555,158863,4348,113549,58917,99946,12276,62103,PUNJAB,FARIDKOT,30.587798323076925,74.06714460961538,0.5498725909489217,0.2446796587122625,0.15065223034805839,0.24164284853120305,0.5307526435372674,0.370866721640659,0.055148032816076234,27.032262677878403,High Potential
46,46,46,PUNJAB,Bathinda,1388525,743197,645328,844868,549986,355722,11284,255650,137563,218159,32253,118427,PUNJAB,BATHINDA,30.082794509558823,75.08875146838236,0.5348750545617604,0.3355253880593497,0.17600585874693006,0.29281912966894863,0.4508879829714738,0.38671490658435526,0.12490979125860105,30.100680124012904,High Potential
47,47,47,PUNJAB,Mansa,769751,408732,361019,423560,328512,196389,2673,140099,50786,145603,10085,39414,PUNJAB,MANSA,30.48895492,74.82128128555556,0.43780355957500444,0.41024614079454846,0.0704955581240598,0.14260657129233886,0.2688202269999287,0.2585990050359236,0.06892300715589662,21.506673614299167,Medium Potential
48,48,48,PUNJAB,Patiala,1895686,1002522,893164,1266791,660267,517369,24274,352929,218090,299279,55105,209192,PUNJAB,PATIALA,30.218580806382977,76.21803899627659,0.6345755843231304,0.21913630718157728,0.26454015273640336,0.353340283993854,0.5492261438309507,0.42153665952154074,0.1707978108139018,33.94651830477815,High Potential
49,49,49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,917856,660953,29961,461231,385476,275477,63864,279993,PUNJAB,AMRITSAR,31.662952708550183,74.93810735501859,0.6482284187894278,0.2683766273655205,0.25528776427834887,0.3155705263077722,0.5757763039947684,0.5832124220632935,0.2246308046655925,38.78985862533412,Very High Potential
50,50,50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,380702,267174,4300,186599,44457,222717,13102,73958,PUNJAB,TARN TARAN,31.384562362820514,74.86996512628205,0.5123972420554934,0.19898716079105816,0.08496490746704304,0.13376978063863315,0.37363594735736083,0.1663971793662557,0.10057985129401137,18.449434413297784,Medium Potential
51,51,51,PUNJAB,Rupnagar,684627,357485,327142,502731,233676,208699,6600,129123,60537,148162,17542,67749,PUNJAB,RUPNAGAR,30.910330098,76.30762441799999,0.7447478501662599,0.20213581923059698,0.1754412871365571,0.2675459733547113,0.43946673601842506,0.29006847181826456,0.06122097214802848,26.340742990710055,High Potential
52,52,52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,355995,291335,25944,191578,174042,117293,50857,131701,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,,,0.755153210667115,0.24255823482572603,0.5100070598163424,0.6133492845160733,0.614936698683051,0.5973947517462714,0.08926991903109478,46.43447428219188,Very High Potential
53,53,53,PUNJAB,Sangrur,1655169,878029,777140,1002077,568758,448944,10736,305557,156788,292156,30955,135280,PUNJAB,SANGRUR,29.616576466225162,69.95704244068965,0.5298027133996617,0.2077529886408207,0.13052036912874276,0.20984270937710414,0.407389489350412,0.3492373213585659,0.14903578889308716,25.502465569501037,Medium Potential
54,54,54,PUNJAB,Barnala,595527,317522,278005,359831,209331,156799,3501,108908,54222,102577,10566,50276,PUNJAB,BARNALA,29.743363770833337,73.27625109857144,0.5278016069575611,0.2269429211500107,0.12128085052971435,0.20386331524561258,0.43397878877004187,0.34580577682255625,0.05315918793674784,24.210313756328283,Medium Potential
55,55,55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,404136,298367,44283,231204,289456,8911,78113,168344,CHANDIGARH,CHANDIGARH,30.728381046415095,76.72819286943395,0.792791406368671,0.30340541462424175,0.8558641592132727,0.9466405988088697,0.7693706657678532,0.9701340965991547,0.09477310465734069,68.10834198227805,Very High Potential
56,56,56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,157276,121209,602,52621,9061,112148,4104,21374,UTTARAKHAND,UTTARKASHI,,,0.6070222236448077,0.5312594078551994,0.02013609306604603,0.07577250234267849,0.23528699937237668,0.07475517494575486,0.029142037961141298,17.98982839106899,Medium Potential
57,57,57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,180940,186340,899,71524,22906,163434,5582,27853,UTTARAKHAND,CHAMOLI,30.926112641085272,78.62771730968993,0.71491735643611,0.4961372114557038,0.019308158252226378,0.06086134732872547,0.1982942426541611,0.12292583449608245,0.03470828827420273,19.006136602420817,Medium Potential
58,58,58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,113032,117159,418,49182,4454,112705,3082,19859,UTTARAKHAND,RUDRAPRAYAG,,,0.6967030348613423,0.5070415375331502,0.01198671276656597,0.046916846076162526,0.22587514699774908,0.03801671233110559,0.02119778750620694,16.873459143373488,Low Potential
59,59,59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,280442,254236,1366,117239,27177,227059,7831,50929,UTTARAKHAND,TEHRI GARHWAL,30.539338858436214,78.29118649711934,0.6194700494235519,0.4743658753128738,0.02250333342728089,0.06409389909368021,0.26830831838983454,0.1068967416101575,0.05527678611498366,18.5346075056854,Medium Potential
60,60,60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,582768,497638,25862,310726,269393,228245,71199,233705,UTTARAKHAND,DEHRADUN,30.610910793693694,77.74573600900901,0.7581153639487643,0.20738119139409628,0.29396863145638097,0.4930343695955938,0.6391269924559552,0.5413433057764881,0.1527929784483445,39.88775771395343,Very High Potential
61,61,61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,274152,316462,2633,143963,36780,279682,12670,70551,UTTARAKHAND,GARHWAL,,,0.7210082962160747,0.34235795130145064,0.03967306108018211,0.09937409315877829,0.2994477259657394,0.11622248484810183,0.0614602017490905,18.64436341522266,Medium Potential
62,62,62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,216490,209943,1344,95421,26256,183687,7932,45365,UTTARAKHAND,PITHORAGARH,29.756165284374998,80.1383107009375,0.7121636966844713,0.4614723029448232,0.028496852483411328,0.09075981738052688,0.2900098383491341,0.12506251696889156,0.04301744530292041,19.870638805740928,Medium Potential
63,63,63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,123638,99911,435,47083,3880,96031,3595,13352,UTTARAKHAND,BAGESHWAR,30.319941860576925,78.3328109375,0.6718321964336738,0.5294272117080115,0.01656627547998709,0.08388412025485834,0.17649023886384885,0.038834562760857165,0.022791414950800497,17.127518526109515,Low Potential
64,64,64,UTTARAKHAND,Almora,622506,291081,331425,436497,298211,281138,1830,109876,21082,260056,9858,40199,UTTARAKHAND,ALMORA,29.65211267346939,79.33817483306122,0.6895144459381255,0.5375409053194548,0.02912325667679877,0.08037916739885176,0.1893615497209593,0.07498808414373012,0.05560025276543629,19.022366508586195,Medium Potential
65,65,65,UTTARAKHAND,Champawat,259648,131125,128523,177726,99566,98041,548,37725,12839,85202,3159,18785,UTTARAKHAND,CHAMPAWAT,29.38077251445783,80.09195730361446,0.6616563155569817,0.30477238639592674,0.02376485351048673,0.06951573999665261,0.25630385062661776,0.13095541661141769,0.0227687949053143,16.355802391635834,Low Potential
66,66,66,UTTARAKHAND,Nainital,954605,493666,460939,696500,376181,298663,7265,169001,105577,193086,26270,99021,UTTARAKHAND,NAINITAL,29.37101885802469,79.45587285185185,0.7369222823494952,0.33059673590516236,0.13291584766921938,0.2824637126697535,0.4489981466725443,0.3534987594713775,0.08564863070911852,29.256802415181195,High Potential
67,67,67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,591458,414659,7883,254802,145253,269406,28053,116576,UTTARAKHAND,UDHAM SINGH NAGAR,,,0.5698086776174034,0.24445858200149884,0.10195559163117118,0.20488549019241825,0.37958593346963115,0.35029506172541774,0.14846874959283918,25.487436138380488,Medium Potential
68,68,68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,578121,488011,11947,279012,186183,301828,35023,125717,UTTARAKHAND,HARDWAR,,,0.5596633041777928,0.11567828064456132,0.1338242759900736,0.2206018934846105,0.34719204829480904,0.3815139412841104,0.17032152313614446,25.088299591369555,Medium Potential
69,69,69,HARYANA,Panchkula,561293,299679,261614,405318,211479,164551,18615,103455,93656,70895,32174,69687,HARYANA,PANCHKULA,30.604475860975608,76.79589776341464,0.7244043580555668,0.28847055208870953,0.650258414390086,0.6934305629140423,0.5756079674815542,0.5691609288305753,0.05006168938804996,49.23961340644334,Very High Potential
70,70,70,HARYANA,Ambala,1128350,598703,529647,818025,372139,315256,12899,199681,139891,175365,32767,121622,HARYANA,AMBALA,30.184350826724135,76.8803574025862,0.7291733215925675,0.17410494678763344,0.22957211177558823,0.3435126662752208,0.5236838861191474,0.4437377877026924,0.10136910992111575,32.40291296359934,High Potential
71,71,71,HARYANA,Yamunanagar,1214205,646718,567487,832457,389233,357723,8079,217503,143259,214464,25129,109080,HARYANA,YAMUNANAGAR,30.96350253555556,76.07264808666666,0.66350768416703,0.15159858612007737,0.12277556542271015,0.21479566613924683,0.412345545707779,0.40047466894776124,0.10913728594198556,26.177325737472255,Medium Potential
72,72,72,HARYANA,Kurukshetra,964655,510976,453679,646893,336780,291821,7356,171908,88268,203553,21951,90150,HARYANA,KURUKSHETRA,34.05319711304348,72.75460179130435,0.6384875666123464,0.22113285834126595,0.13805518221533697,0.2337978737868222,0.417844451938988,0.30247309138136047,0.08655795653766364,25.09561912859019,Medium Potential
73,73,73,HARYANA,Kaithal,1074304,571003,503301,646529,373899,306787,3724,187349,75696,231091,15301,62668,HARYANA,KAITHAL,29.80783914117647,76.44567430588235,0.5237811493535394,0.2184997063107682,0.061919724638825765,0.13696296850062784,0.273747595822182,0.24673796477686474,0.09647901800772773,19.265009678334682,Medium Potential
74,74,74,HARYANA,Karnal,1505324,797712,707612,978013,516062,428602,11163,267223,135920,292682,29253,143133,HARYANA,KARNAL,34.09603136388889,60.1472712739726,0.6036461135595454,0.20580286104277035,0.14293672869973628,0.20717381599304752,0.4523104818594996,0.3171240451514459,0.13547778602957036,25.759937654093957,Medium Potential
75,75,75,HARYANA,Panipat,1205437,646857,558580,786599,412318,327306,10024,209965,153804,173502,26719,121846,HARYANA,PANIPAT,30.089549674861114,47.1734763675,0.608382158464239,0.2039132060772575,0.16962289154431853,0.25829649261096926,0.5050695006607208,0.4699088925959194,0.10834395570669365,30.244134876953876,High Potential
76,76,76,HARYANA,Sonipat,1450001,781299,668702,998316,523179,417434,9029,253054,133576,283858,30697,126009,HARYANA,SONIPAT,28.899240277272728,75.94138211212122,0.6683354050497503,0.24960851195798495,0.11721333514447993,0.22736637063215587,0.4081279994775588,0.31999310070574033,0.13047215092383885,26.205122474472237,Medium Potential
77,77,77,HARYANA,Jind,1334152,713006,621146,832758,523422,368000,5263,222462,89665,278335,23750,78386,HARYANA,JIND,33.69811099010989,39.54851795054945,0.5610919849581009,0.32634924516854746,0.07452058307123849,0.19298394180135883,0.28577296543595015,0.24365489130434786,0.11999011232571707,22.399709819842865,Medium Potential
78,78,78,HARYANA,Fatehabad,942011,495360,446651,557578,369083,258380,3210,153301,55360,203020,13142,51693,HARYANA,FATEHABAD,29.512213171875,75.527648296875,0.5072544422286609,0.3250772487875555,0.06357920593490797,0.14073796338094136,0.2679558860294085,0.21425806951002402,0.08450912329770585,19.865277900941393,Medium Potential
79,79,79,HARYANA,Sirsa,1295189,682582,612607,782897,502003,338792,6287,215527,93316,245476,22706,70538,HARYANA,SIRSA,30.95972682285714,73.63756271714286,0.5282062362423499,0.3148182601379974,0.0993124370416328,0.20246819745911748,0.27916229990479174,0.2754374365392335,0.11646473299660229,23.197372379566364,Medium Potential
80,80,80,HARYANA,Hisar,1743931,931562,812369,1114311,691621,456126,10132,285004,154113,302013,33400,110495,HARYANA,HISAR,30.48740545714286,74.40478605428572,0.5857395737703885,0.33672758299822836,0.1206121101182924,0.22617438495993897,0.32603631290137675,0.3378737454124518,0.15706699080287045,27.049558371666365,High Potential
81,81,81,HARYANA,Bhiwani,1634445,866672,767773,1069871,623006,456282,5292,266244,99235,357047,25236,88938,HARYANA,BHIWANI,28.804168421052633,76.01547894736842,0.6117757331360716,0.29918964475711096,0.058770117930326965,0.15771968438257816,0.2608689761455232,0.2174861160422721,0.14716067760246337,21.331246500869334,Medium Potential
