location_id,district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households,state_key,district_key,latitude,longitude
15,15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,159990,121130,838,47913,25178,95952,3542,4301,JAMMU AND KASHMIR,KULGAM,76.45558674,110.29206929666667
16,16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,151912,133617,596,61831,11350,122267,3077,7963,JAMMU AND KASHMIR,DODA,17.424701866666666,40.73393526666666
17,17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,87212,89622,417,34243,5341,84281,2644,3982,JAMMU AND KASHMIR,RAMBAN,18.48695421818182,41.471612772727276
18,18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,82974,78371,274,24067,5993,72378,1651,4118,JAMMU AND KASHMIR,KISHTWAR,19.324586,43.64112857142857
19,19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,243672,183360,1214,73999,34696,148664,5744,20008,JAMMU AND KASHMIR,UDHAMPUR,22.70636460571429,51.195037211764706
20,20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,144767,107833,602,31588,12261,95572,2849,6552,JAMMU AND KASHMIR,REASI,20.586038844444445,46.07711147222222
21,21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,508622,502609,19905,294739,248043,254566,46657,197168,JAMMU AND KASHMIR,JAMMU,32.683791811666666,74.75174380782123
22,22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,92526,114236,992,61159,19989,94247,4465,34063,JAMMU AND KASHMIR,SAMBA,32.580956900000004,74.8218229
23,23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,294035,200231,1615,96082,13836,186395,5117,21458,HIMACHAL PRADESH,CHAMBA,32.48584873,76.23403375714285
24,24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,675170,627328,8053,330081,39007,588321,22753,148361,HIMACHAL PRADESH,KANGRA,32.3551757768014,76.05364783497365
25,25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,19295,17434,61,5618,0,17434,252,2046,HIMACHAL PRADESH,LAHUL AND SPITI,32.462922078048784,94.35687177804878
26,26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,269084,188704,2623,91322,20709,167995,7010,40064,HIMACHAL PRADESH,KULLU,31.82943310952381,77.26068886746032
27,27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,572671,462825,5333,214491,31696,431129,16401,59324,HIMACHAL PRADESH,MANDI,31.638470287218045,76.94428813308271
28,28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,241931,211348,2521,104120,15232,196116,7525,34978,HIMACHAL PRADESH,HAMIRPUR,32.776892044660194,75.42414072634146
29,29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,215346,205217,2412,105929,20126,185091,8238,43809,HIMACHAL PRADESH,UNA,31.587477620338984,76.23765133559323
30,30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,205871,164445,1574,79146,11987,152458,6281,17262,HIMACHAL PRADESH,BILASPUR,32.7651246740458,75.65764139083969
31,31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,298737,244296,5250,119866,51509,192787,14478,53722,HIMACHAL PRADESH,SOLAN,32.839826235353534,75.12196172727273
32,32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,280083,192156,2220,91509,21054,171102,8593,28904,HIMACHAL PRADESH,SIRMAUR,30.666541156578948,77.38432520394737
33,33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,430926,375165,9177,172754,95896,279269,24127,108888,HIMACHAL PRADESH,SHIMLA,33.03755717945619,76.27573009969788
34,34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,56273,44514,354,17865,0,44514,2563,10740,HIMACHAL PRADESH,KINNAUR,31.601572416666666,78.2741514611111
35,35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,757138,606348,14428,411216,185488,420860,38445,244468,PUNJAB,GURDASPUR,47.70034426,75.279600204
36,36,PUNJAB,Kapurthala,815168,426311,388857,576567,284165,261203,9732,161206,95770,165433,23145,110555,PUNJAB,KAPURTHALA,31.36591466956522,75.57458810543478
37,37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,774472,708130,39082,446200,377791,330339,79134,299449,PUNJAB,JALANDHAR,31.52644390669456,75.40412237615062
38,38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,499822,551265,13747,319930,128592,422673,34328,201675,PUNJAB,HOSHIARPUR,32.82444492012195,74.0746583429878
39,39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,204329,231551,5264,125068,48383,183168,13936,64934,PUNJAB,SHAHID BHAGAT SINGH NAGAR,31.19810911025641,75.78892966581196
40,40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,214783,174896,5138,113683,57337,117559,14294,64037,PUNJAB,FATEHGARH SAHIB,30.501037013793106,76.33359956091954
41,41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1284822,1036821,58589,703624,641789,395032,123400,488757,PUNJAB,LUDHIANA,30.737310015228427,75.45716898666667
42,42,PUNJAB,Moga,995746,525920,469826,627889,359172,288439,7897,183396,74144,214295,21662,89445,PUNJAB,MOGA,30.7751262982906,75.12031995128204
43,43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,756695,502390,10042,349662,153868,348522,31070,141899,PUNJAB,FIROZPUR,,
44,44,PUNJAB,Muktsar,901896,475622,426274,524848,335326,224157,4571,166585,74650,149507,14077,76441,PUNJAB,MUKTSAR,,
45,45,PUNJAB,Faridkot,617508,326671,290837,381285,221555,158863,4348,113549,58917,99946,12276,62103,PUNJAB,FARIDKOT,30.587798323076925,74.06714460961538
46,46,PUNJAB,Bathinda,1388525,743197,645328,844868,549986,355722,11284,255650,137563,218159,32253,118427,PUNJAB,BATHINDA,30.082794509558823,75.08875146838236
47,47,PUNJAB,Mansa,769751,408732,361019,423560,328512,196389,2673,140099,50786,145603,10085,39414,PUNJAB,MANSA,30.48895492,74.82128128555556
48,48,PUNJAB,Patiala,1895686,1002522,893164,1266791,660267,517369,24274,352929,218090,299279,55105,209192,PUNJAB,PATIALA,30.218580806382977,76.21803899627659
49,49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,917856,660953,29961,461231,385476,275477,63864,279993,PUNJAB,AMRITSAR,31.662952708550183,74.93810735501859
50,50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,380702,267174,4300,186599,44457,222717,13102,73958,PUNJAB,TARN TARAN,31.384562362820514,74.86996512628205
51,51,PUNJAB,Rupnagar,684627,357485,327142,502731,233676,208699,6600,129123,60537,148162,17542,67749,PUNJAB,RUPNAGAR,30.910330098,76.30762441799999
52,52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,355995,291335,25944,191578,174042,117293,50857,131701,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,,
53,53,PUNJAB,Sangrur,1655169,878029,777140,1002077,568758,448944,10736,305557,156788,292156,30955,135280,PUNJAB,SANGRUR,29.616576466225162,69.95704244068965
54,54,PUNJAB,Barnala,595527,317522,278005,359831,209331,156799,3501,108908,54222,102577,10566,50276,PUNJAB,BARNALA,29.743363770833337,73.27625109857144
55,55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,404136,298367,44283,231204,289456,8911,78113,168344,CHANDIGARH,CHANDIGARH,30.728381046415095,76.72819286943395
56,56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,157276,121209,602,52621,9061,112148,4104,21374,UTTARAKHAND,UTTARKASHI,,
57,57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,180940,186340,899,71524,22906,163434,5582,27853,UTTARAKHAND,CHAMOLI,30.926112641085272,78.62771730968993
58,58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,113032,117159,418,49182,4454,112705,3082,19859,UTTARAKHAND,RUDRAPRAYAG,,
59,59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,280442,254236,1366,117239,27177,227059,7831,50929,UTTARAKHAND,TEHRI GARHWAL,30.539338858436214,78.29118649711934
60,60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,582768,497638,25862,310726,269393,228245,71199,233705,UTTARAKHAND,DEHRADUN,30.610910793693694,77.74573600900901
61,61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,274152,316462,2633,143963,36780,279682,12670,70551,UTTARAKHAND,GARHWAL,,
62,62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,216490,209943,1344,95421,26256,183687,7932,45365,UTTARAKHAND,PITHORAGARH,29.756165284374998,80.1383107009375
63,63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,123638,99911,435,47083,3880,96031,3595,13352,UTTARAKHAND,BAGESHWAR,30.319941860576925,78.3328109375
64,64,UTTARAKHAND,Almora,622506,291081,331425,436497,298211,281138,1830,109876,21082,260056,9858,40199,UTTARAKHAND,ALMORA,29.65211267346939,79.33817483306122
65,65,UTTARAKHAND,Champawat,259648,131125,128523,177726,99566,98041,548,37725,12839,85202,3159,18785,UTTARAKHAND,CHAMPAWAT,29.38077251445783,80.09195730361446
66,66,UTTARAKHAND,Nainital,954605,493666,460939,696500,376181,298663,7265,169001,105577,193086,26270,99021,UTTARAKHAND,NAINITAL,29.37101885802469,79.45587285185185
67,67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,591458,414659,7883,254802,145253,269406,28053,116576,UTTARAKHAND,UDHAM SINGH NAGAR,,
68,68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,578121,488011,11947,279012,186183,301828,35023,125717,UTTARAKHAND,HARDWAR,,
69,69,HARYANA,Panchkula,561293,299679,261614,405318,211479,164551,18615,103455,93656,70895,32174,69687,HARYANA,PANCHKULA,30.604475860975608,76.79589776341464
70,70,HARYANA,Ambala,1128350,598703,529647,818025,372139,315256,12899,199681,139891,175365,32767,121622,HARYANA,AMBALA,30.184350826724135,76.8803574025862
71,71,HARYANA,Yamunanagar,1214205,646718,567487,832457,389233,357723,8079,217503,143259,214464,25129,109080,HARYANA,YAMUNANAGAR,30.96350253555556,76.07264808666666
72,72,HARYANA,Kurukshetra,964655,510976,453679,646893,336780,291821,7356,171908,88268,203553,21951,90150,HARYANA,KURUKSHETRA,34.05319711304348,72.75460179130435
73,73,HARYANA,Kaithal,1074304,571003,503301,646529,373899,306787,3724,187349,75696,231091,15301,62668,HARYANA,KAITHAL,29.80783914117647,76.44567430588235
74,74,HARYANA,Karnal,1505324,797712,707612,978013,516062,428602,11163,267223,135920,292682,29253,143133,HARYANA,KARNAL,34.09603136388889,60.1472712739726
75,75,HARYANA,Panipat,1205437,646857,558580,786599,412318,327306,10024,209965,153804,173502,26719,121846,HARYANA,PANIPAT,30.089549674861114,47.1734763675
76,76,HARYANA,Sonipat,1450001,781299,668702,998316,523179,417434,9029,253054,133576,283858,30697,126009,HARYANA,SONIPAT,28.899240277272728,75.94138211212122
77,77,HARYANA,Jind,1334152,713006,621146,832758,523422,368000,5263,222462,89665,278335,23750,78386,HARYANA,JIND,33.69811099010989,39.54851795054945
78,78,HARYANA,Fatehabad,942011,495360,446651,557578,369083,258380,3210,153301,55360,203020,13142,51693,HARYANA,FATEHABAD,29.512213171875,75.527648296875
79,79,HARYANA,Sirsa,1295189,682582,612607,782897,502003,338792,6287,215527,93316,245476,22706,70538,HARYANA,SIRSA,30.95972682285714,73.63756271714286
80,80,HARYANA,Hisar,1743931,931562,812369,1114311,691621,456126,10132,285004,154113,302013,33400,110495,HARYANA,HISAR,30.48740545714286,74.40478605428572
81,81,HARYANA,Bhiwani,1634445,866672,767773,1069871,623006,456282,5292,266244,99235,357047,25236,88938,HARYANA,BHIWANI,28.804168421052633,76.01547894736842
82,82,HARYANA,Rohtak,1061204,568479,492725,747582,345967,306942,8482,193120,131739,175203,27225,94633,HARYANA,ROHTAK,30.09569692898551,75.20762130434782
83,83,HARYANA,Jhajjar,958405,514667,443738,676091,326534,290144,5034,168558,78328,211816,19241,70149,HARYANA,JHAJJAR,29.162399802173912,76.17846082826087
84,84,HARYANA,Mahendragarh,922088,486665,435423,630255,338584,267942,2624,135455,44216,223726,13908,45359,HARYANA,MAHENDRAGARH,28.17839799,76.191975355
85,85,HARYANA,Rewari,900332,474335,425997,636947,337727,268754,5121,152651,69305,199449,18092,62667,HARYANA,REWARI,28.24513593,76.57880628333334
86,86,HARYANA,Gurgaon,1514432,816690,697742,1111116,544716,523691,67087,305751,381988,141703,102343,238359,HARYANA,GURGAON,,
87,87,HARYANA,Mewat,1089263,571162,518101,454897,289964,223635,935,96309,36237,187398,10499,15593,HARYANA,MEWAT,,
88,88,HARYANA,Faridabad,1809733,966110,843623,1272739,579229,470681,43437,333171,382981,87700,82673,258422,HARYANA,FARIDABAD,28.883013289230767,77.21778565384615
89,89,HARYANA,Palwal,1042708,554497,488211,599796,309563,249159,4283,132606,63090,186069,16736,46498,HARYANA,PALWAL,28.27045277846154,75.97036938615385
90,90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1188545,1026867,114044,720900,959275,67592,188876,625662,DELHI,NORTH WEST,28.7093922,77.11553028139535
91,91,NCT OF DELHI,North,887978,475002,412976,681517,296446,301071,21418,174310,296559,4512,40543,161067,DELHI,NORTH,29.824887113636365,76.0630050659091
92,92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,661386,487581,30390,391951,482255,5326,69417,356769,DELHI,NORTH EAST,28.6810445,77.2798663090909
93,93,NCT OF DELHI,East,1709346,907500,801846,1352998,579692,462218,80037,352758,461132,1086,127465,327253,DELHI,EAST,28.63958824761905,77.29615073333333
94,94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,59541,52664,7366,30023,52664,0,11948,26681,DELHI,NEW DELHI,30.31864660238095,75.40154562738095
95,95,NCT OF DELHI,Central,582320,307821,274499,442360,207374,194897,19724,113399,194897,0,30627,101826,DELHI,CENTRAL,29.730878453846152,75.97005965641026
96,96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,874320,701512,109666,520282,699703,1809,171002,475985,DELHI,WEST,28.598688618421054,76.90177187500001
97,97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,795352,647682,94853,457784,606503,41179,156635,423855,DELHI,SOUTH WEST,28.053205939999998,77.166387494
98,98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,924393,731063,111453,549402,728145,2918,176435,504898,DELHI,SOUTH,30.099811670967743,75.64795442419354
99,99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,912672,562594,6295,283142,164897,397697,24901,88543,RAJASTHAN,GANGANAGAR,29.43433104841772,73.68498034873419
100,100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,835260,497753,3360,243163,108694,389059,16217,55515,RAJASTHAN,HANUMANGARH,29.298086672457625,74.62045220508475
101,101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,986208,531933,7607,220793,196179,335754,29531,108812,RAJASTHAN,BIKANER,28.06089657181467,73.40199453590733
102,102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,902829,493893,2577,231696,148996,344897,15259,74197,RAJASTHAN,CHURU,28.320208996521743,74.67225177130435
103,103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,894649,650809,4828,297559,150357,500452,24178,131987,RAJASTHAN,JHUNJHUNUN,,
104,104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1708542,995261,9750,485723,212967,782294,45770,123478,RAJASTHAN,ALWAR,27.512556946153843,76.49416763679834
105,105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,1071154,609134,4179,288723,129697,479437,26106,61113,RAJASTHAN,BHARATPUR,27.304968607960202,77.47131658955225
106,106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,523212,273296,1330,96086,58626,214670,9504,24561,RAJASTHAN,DHAULPUR,,
107,107,RAJASTHAN,Karauli,1458248,783639,674609,805849,628726,364355,1059,132079,59308,305047,13045,28296,RAJASTHAN,KARAULI,26.910563662295083,75.89033348264462
108,108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,578068,353321,1887,140947,71264,282057,14310,40116,RAJASTHAN,SAWAI MADHOPUR,26.84098772816901,76.14193613601896
109,109,RAJASTHAN,Dausa,1634409,857787,776622,938051,684495,420694,1719,195277,59610,361084,14539,35600,RAJASTHAN,DAUSA,27.12620015542857,76.27047292356322
110,110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2464893,1732679,76565,990085,977838,754841,182350,570997,RAJASTHAN,JAIPUR,27.09977686217604,75.5094047000495
111,111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,1006504,705834,5647,339457,178274,527560,28382,131342,RAJASTHAN,SIKAR,27.616648085074626,75.29630807611942
112,112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1425882,842201,4449,347344,166489,675712,35328,97267,RAJASTHAN,NAGAUR,27.06584424218107,74.34994587072164
113,113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1489741,891657,19335,408808,307442,584215,54808,197135,RAJASTHAN,JODHPUR,26.55756866396761,72.80687887611336
114,114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,288903,189947,754,43141,30830,159117,7416,12431,RAJASTHAN,JAISALMER,26.937352954166666,71.15386527777778
115,115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,1202482,598805,2766,126494,55980,542825,37730,39580,RAJASTHAN,BARMER,25.647795757528957,71.84020467335907
116,116,RAJASTHAN,Jalor,1828730,936634,892096,829582,896644,467418,1585,161845,48202,419216,12794,39745,RAJASTHAN,JALOR,,
117,117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,419829,308174,2146,134089,69639,238535,10297,47182,RAJASTHAN,SIROHI,24.747689370285713,72.77421101028571
118,118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,842327,652717,4043,326793,139808,512909,19270,94821,RAJASTHAN,PALI,25.83098033153846,72.75039833269231
119,119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,1053722,684254,13499,393498,274919,409335,41732,171799,RAJASTHAN,AJMER,26.213473652722065,75.0142859426934
120,120,RAJASTHAN,Tonk,1421326,728136,693190,749659,649161,380666,1908,158264,81755,298911,12482,32359,RAJASTHAN,TONK,26.15826074953271,75.25945173691589
121,121,RAJASTHAN,Bundi,1110906,577160,533746,585044,526091,303288,1392,136969,63452,239836,7705,33406,RAJASTHAN,BUNDI,25.81539783028571,75.33273707371428
122,122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,1148165,675880,6207,373644,145865,530015,24014,93768,RAJASTHAN,BHILWARA,25.60414777235142,73.5374766248062
123,123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,550831,365676,1989,193276,61054,304622,9222,36073,RAJASTHAN,RAJSAMAND,25.183920978301888,73.88735616698114
124,124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,641515,354363,1477,141275,31547,322816,11742,26351,RAJASTHAN,DUNGARPUR,23.74104013605442,73.68658564693878
125,125,RAJASTHAN,Banswara,1797485,907754,889731,829343,916574,429844,2324,120603,39407,390437,15062,34189,RAJASTHAN,BANSWARA,23.508345956179777,74.32715238277153
126,126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,802755,455653,4941,268172,88873,366780,16560,59190,RAJASTHAN,CHITTAURGARH,,
127,127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,748811,515189,12843,339899,311735,203454,36297,165563,RAJASTHAN,KOTA,25.150960123809522,76.00128688677249
128,128,RAJASTHAN,Baran,1222755,633945,588810,693307,552583,318988,1363,161310,69804,249184,9491,32685,RAJASTHAN,BARAN,25.010292623232324,76.61639611565657
129,129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,685950,362387,1750,220428,63763,298624,9403,38909,RAJASTHAN,JHALAWAR,24.415629488750003,76.14037508791667
130,130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,1365783,848218,14211,357846,182769,665449,48517,128320,RAJASTHAN,UDAIPUR,24.505810589261742,75.02895875033558
131,131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,481294,234082,716,71612,24269,209813,5961,17984,RAJASTHAN,PRATAPGARH,24.20075195120482,74.70601982530121
132,132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1037344,889238,9699,404499,284156,605082,38816,149035,UTTAR PRADESH,SAHARANPUR,29.91126810241546,77.54309322173913
133,133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1291644,969850,10077,368153,296104,673746,56149,147785,UTTAR PRADESH,MUZAFFARNAGAR,29.624950603603605,77.24373988603604
134,134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1088036,908523,7303,268353,224648,683875,37341,128042,UTTAR PRADESH,BIJNOR,28.170067959677418,78.4092214048387
135,135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1417811,1047916,11690,281758,355518,692398,61846,179473,UTTAR PRADESH,MORADABAD,29.471532011904763,77.53343438095237
136,136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,737261,539992,3847,131112,143217,396775,25960,62281,UTTAR PRADESH,RAMPUR,28.45877417647059,79.31994264117647
137,137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,599089,451374,2825,89329,115486,335888,18303,55064,UTTAR PRADESH,JYOTIBA PHULE NAGAR,,
138,138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1090539,803823,23717,425624,422303,381520,69473,236071,UTTAR PRADESH,MEERUT,29.037332557028112,77.7324460493976
139,139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,416695,316046,2989,119121,69991,246055,19999,44732,UTTAR PRADESH,BAGHPAT,29.07321750204082,77.30863909591837
140,140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1520538,1191723,78116,695130,836316,355407,179552,501592,UTTAR PRADESH,GHAZIABAD,28.674143564347826,77.49432477043479
141,141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,569109,509770,53181,257586,338935,170835,87188,193902,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,27.999388280165288,76.42803314793389
142,142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1173260,880077,7865,223922,221628,658449,38225,124641,UTTAR PRADESH,BULANDSHAHR,28.35944949647436,78.0028737048077
143,143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1174361,858059,13634,268120,275942,582117,58336,153283,UTTAR PRADESH,ALIGARH,28.32268333237548,77.27552127338461
144,144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,484115,373033,3087,134579,84883,288150,18621,48911,UTTAR PRADESH,MAHAMAYA NAGAR,,
145,145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,840939,585290,8726,281239,177802,407488,37596,107867,UTTAR PRADESH,MATHURA,27.49154998651685,77.7008373730337
146,146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1389844,903823,27183,536402,406852,496971,82012,251013,UTTAR PRADESH,AGRA,27.059047758409786,78.04897514770641
147,147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,761521,535368,5834,196080,185621,349747,31797,100919,UTTAR PRADESH,FIROZABAD,25.136694668711655,83.07167075828221
148,148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,560840,411258,2642,79022,72783,338475,24451,43074,UTTAR PRADESH,MAINPURI,26.034888580225985,78.1246833220339
149,149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,1107343,867624,3634,110177,156668,710956,30423,62863,UTTAR PRADESH,BUDAUN,28.081743415589354,79.06243812623575
150,150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1401971,994411,15164,272830,362798,631613,56575,210687,UTTAR PRADESH,BAREILLY,30.302662114559386,77.7320909992337
151,151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,618605,461390,2870,83006,89638,371752,18097,47723,UTTAR PRADESH,PILIBHIT,29.823864903896105,78.53196441168832
152,152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,892214,655003,3889,115163,134714,520289,27533,91958,UTTAR PRADESH,SHAHJAHANPUR,29.39060739142857,79.90437593714286
153,153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1264718,862610,3402,122761,107672,754938,29252,86948,UTTAR PRADESH,KHERI,28.05257738221024,80.70037152964959
154,154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1422602,938902,3874,102040,111319,827583,34609,74072,UTTAR PRADESH,SITAPUR,28.343408713043477,80.73850237826088
155,155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1318946,907677,3845,95508,121064,786613,32065,60689,UTTAR PRADESH,HARDOI,27.47380508996764,103.38391001456311
